"","genus_species","species","genus","family","order","class","redlistCategory","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5"
"103","Ningaui timealeyi","timealeyi","Ningaui","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",2,21,2,2,0,19,2,0.105,1,1
"104","Ningaui yvonneae","yvonneae","Ningaui","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",13,251,6,13,0,33,9,0.273,8,0
"105","Notoryctes caurinus","caurinus","Notoryctes","Notoryctidae","Notoryctemorphia","Mammalia","Least Concern",1,48,1,1,0,21,1,0.048,1,0
"106","Notoryctes typhlops","typhlops","Notoryctes","Notoryctidae","Notoryctemorphia","Mammalia","Least Concern",25,814,20,21,0,130,12,0.092,13,1
"107","Onychogalea fraenata","fraenata","Onychogalea","Macropodidae","Diprotodontia","Mammalia","Vulnerable",53,973,35,50,2,41,21,0.512,26,3
"108","Onychogalea unguifera","unguifera","Onychogalea","Macropodidae","Diprotodontia","Mammalia","Least Concern",4,56,3,3,1,30,3,0.1,2,0
"109","Parantechinus apicalis","apicalis","Parantechinus","Dasyuridae","Dasyuromorphia","Mammalia","Endangered",19,342,11,19,0,38,9,0.237,9,1
"110","Perameles bougainville","bougainville","Perameles","Peramelidae","Peramelemorphia","Mammalia","Vulnerable",44,925,27,39,5,31,18,0.581,32,2
"111","Perameles gunnii","gunnii","Perameles","Peramelidae","Peramelemorphia","Mammalia","Vulnerable",83,1016,44,80,1,70,19,0.271,42,4
"112","Perameles nasuta","nasuta","Perameles","Peramelidae","Peramelemorphia","Mammalia","Least Concern",113,1873,54,109,3,79,26,0.329,58,4
"113","Peroryctes broadbenti","broadbenti","Peroryctes","Peramelidae","Peramelemorphia","Mammalia","Endangered",1,22,1,0,1,11,1,0.091,1,0
"114","Peroryctes raffrayana","raffrayana","Peroryctes","Peramelidae","Peramelemorphia","Mammalia","Least Concern",1,47,1,1,0,31,1,0.032,1,0
"115","Petauroides volans","volans","Petauroides","Pseudocheiridae","Diprotodontia","Mammalia","Vulnerable",113,3321,47,111,1,39,34,0.872,79,4
"116","Petaurus abidi","abidi","Petaurus","Petauridae","Diprotodontia","Mammalia","Critically Endangered",0,0,0,0,0,NA,0,0,0,0
"117","Petaurus australis","australis","Petaurus","Petauridae","Diprotodontia","Mammalia","Near Threatened",78,2043,30,76,1,38,29,0.763,51,2
"118","Petaurus biacensis","biacensis","Petaurus","Petauridae","Diprotodontia","Mammalia","Least Concern",0,0,0,0,0,NA,0,0,0,0
"119","Petaurus breviceps","breviceps","Petaurus","Petauridae","Diprotodontia","Mammalia","Least Concern",213,5057,97,193,16,78,36,0.462,118,6
"120","Petaurus gracilis","gracilis","Petaurus","Petauridae","Diprotodontia","Mammalia","Endangered",21,386,12,18,2,28,12,0.429,14,0
"121","Petaurus norfolcensis","norfolcensis","Petaurus","Petauridae","Diprotodontia","Mammalia","Least Concern",96,2292,32,90,3,49,28,0.571,65,4
"122","Petrogale assimilis","assimilis","Petrogale","Macropodidae","Diprotodontia","Mammalia","Least Concern",33,547,17,32,0,34,14,0.412,21,1
"123","Petrogale brachyotis","brachyotis","Petrogale","Macropodidae","Diprotodontia","Mammalia","Least Concern",19,288,13,19,0,37,11,0.297,13,0
